trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
144,False,"{'a': 0.5, 'e': 0.31854230087321894}",20,4,-31.785532700612343,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.3160041286918625}",25,0,16.272279666147462,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.3134861808826053}",20,3,-20.138325480045275,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.3109882962959281}",20,0,9.087334207255745,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.3085103150663647}",35,19,-4.789630191262624,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.3060520786022707}",25,1,14.57265894026872,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.30361342957567317}",30,0,3.792433113654463,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,0,-28.481488409241564,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.29879427078110127}",20,11,11.993519710321348,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.2964134525853191}",30,19,-40.38119013603857,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.29405160495167837}",25,16,-10.144000024268893,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.29170857672112444}",30,22,14.962494632287967,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.28938421793905067}",30,13,-39.44198450699293,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
157,False,"{'a': 0.5, 'e': 0.28707837984570167}",25,19,12.223614053906825,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2847909148666525}",20,6,9.69445914778392,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2825216766033636}",30,14,-2.853132984344575,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.28027051982381157}",20,9,9.57230516384429,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,7,23.45069724136481,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.27582187556470933}",20,0,9.42578645469726,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.27362410337040804}",20,3,-57.08258973520403,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
164,False,"{'a': 0.5, 'e': 0.27144384321211973}",20,12,-5.258622723596258,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.26928095555244996}",20,9,-35.25137550644935,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.2671353019658504}",25,14,10.675022649010032,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.26500674512975897}",25,7,-5.3872147288353025,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.26289514881581166}",20,14,-34.63969458113369,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.5, 'e': 0.26080037788112365}",20,0,-10.918941812587214,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.2587222982596401}",25,17,19.906630872581154,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.2566607769535559}",20,0,-23.282615605544766,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.2546156820248038}",20,3,-32.09512946569157,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.2525868825866102}",20,8,-20.921410285469843,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
174,False,"{'a': 0.5, 'e': 0.25057424879511875}",20,4,-17.530402738698626,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
175,False,"{'a': 0.5, 'e': 0.2485776518410797}",30,12,-36.33712878225949,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
176,False,"{'a': 0.5, 'e': 0.24659696394160646}",20,0,21.61769171294414,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.2446320583319975}",30,17,21.808377795979453,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.242682809257623}",25,12,0.09715365605674098,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.24074909196587688}",25,8,-5.191963564177519,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.23883078269819244}",20,12,6.125288863055113,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.2369277586821218}",30,11,-5.040679665805435,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
182,False,"{'a': 0.5, 'e': 0.23503989812347828}",20,4,25.890550291613984,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.23316708019854182}",20,12,14.527876572190799,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.23130918504632592}",20,8,9.712590155265442,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.2294660937609067}",20,14,9.597550675323522,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.22763768838381276}",20,8,-15.079992792761407,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.22582385189647589}",30,17,-38.25461722932233,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
188,False,"{'a': 0.5, 'e': 0.22402446821274175}",25,13,17.652309191117073,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.22223942217144044}",25,2,-7.521268125006699,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
190,False,"{'a': 0.5, 'e': 0.22046859952901596}",20,0,9.547530142422072,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.21871188695221477}",20,13,-1.0598283632337528,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.21696917201083235}",20,13,12.408607665518696,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.2152403431705176}",30,0,11.523288497629515,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
194,False,"{'a': 0.5, 'e': 0.21352528978563462}",25,6,14.158689025828338,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.21182390209218138}",30,18,-5.6752299504632955,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.21013607120076475}",30,12,-19.006617732542853,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
